Date	Time	Severity	PID	TID	Function	Message
12-09-2026	17:57:34.733	 INFO	 32032	 32084	DllMain	"DLL_PROCESS_ATTACH "
12-09-2026	17:57:34.734	 INFO	 32032	  2132	InitializeCurrentProcessInfo	"0|0|0"
12-09-2026	17:57:34.736	ERROR	 32032	  2132	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
12-09-2026	17:57:34.736	 INFO	 32032	  2132	ProcessEdlpPolicy	"Label Id :0"
12-09-2026	17:57:34.762	 INFO	 32032	  2132	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
12-09-2026	17:57:34.762	 INFO	 32032	  2132	Injector	"PolicyVersion : 1788868310"
12-09-2026	17:57:34.780	 INFO	  2964	 33724	DllMain	"DLL_PROCESS_ATTACH "
12-09-2026	17:57:34.780	 INFO	  2964	  7676	InitializeCurrentProcessInfo	"0|0|0"
12-09-2026	17:57:34.790	ERROR	  2964	  7676	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
12-09-2026	17:57:34.791	 INFO	  2964	  7676	ProcessEdlpPolicy	"Label Id :0"
12-09-2026	17:57:34.816	 INFO	  2964	  7676	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
12-09-2026	17:57:34.816	 INFO	  2964	  7676	Injector	"PolicyVersion : 1788868310"
12-09-2026	17:57:44.515	 INFO	 30756	 27408	DllMain	"DLL_PROCESS_ATTACH "
12-09-2026	17:57:44.515	 INFO	 30756	 17484	InitializeCurrentProcessInfo	"0|0|0"
12-09-2026	17:57:44.517	ERROR	 30756	 17484	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
12-09-2026	17:57:44.518	 INFO	 30756	 17484	ProcessEdlpPolicy	"Label Id :0"
12-09-2026	17:57:44.543	 INFO	 30756	 17484	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
12-09-2026	17:57:44.544	 INFO	 30756	 17484	Injector	"PolicyVersion : 1788868310"
12-09-2026	17:57:44.571	 INFO	 31384	 28288	DllMain	"DLL_PROCESS_ATTACH "
12-09-2026	17:57:44.571	 INFO	 31384	 16928	InitializeCurrentProcessInfo	"0|0|0"
12-09-2026	17:57:44.573	ERROR	 31384	 16928	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
12-09-2026	17:57:44.573	 INFO	 31384	 16928	ProcessEdlpPolicy	"Label Id :0"
12-09-2026	17:57:44.599	 INFO	 31384	 16928	LoadDlls	" Dlls : PrinterMonitorDll DragDropDll "
12-09-2026	17:57:44.599	 INFO	 31384	 16928	Injector	"PolicyVersion : 1788868310"
12-09-2026	18:06:59.009	 INFO	 31900	 33660	DllMain	"DLL_PROCESS_ATTACH "
12-09-2026	18:06:59.010	 INFO	 31900	 33004	InitializeCurrentProcessInfo	"0|0|0"
12-09-2026	18:06:59.012	ERROR	 31900	 33004	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
12-09-2026	18:06:59.012	 INFO	 31900	 33004	ProcessEdlpPolicy	"Label Id :0"
12-09-2026	18:06:59.505	 INFO	 33012	 31388	DllMain	"DLL_PROCESS_ATTACH "
12-09-2026	18:06:59.505	 INFO	 33012	 33448	InitializeCurrentProcessInfo	"0|0|0"
12-09-2026	18:06:59.507	ERROR	 33012	 33448	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
12-09-2026	18:06:59.508	 INFO	 33012	 33448	ProcessEdlpPolicy	"Label Id :0"
12-09-2026	18:06:59.831	 INFO	 33476	 29100	DllMain	"DLL_PROCESS_ATTACH "
12-09-2026	18:06:59.832	 INFO	 33476	 26844	InitializeCurrentProcessInfo	"0|0|0"
12-09-2026	18:06:59.834	ERROR	 33476	 26844	Edlp::Process::GetLabelId	"std::exception thrown GetFileVersionInfoSizeW failed with 1813"
12-09-2026	18:06:59.834	 INFO	 33476	 26844	ProcessEdlpPolicy	"Label Id :0"
